UUID|Id|InPool|Name|Cost|Level|Attack|Health|Game Text|Golden or regular|Type|Subtypes|Keywords
137|SBB_SPELL_MYSTERIOUSSCROLL|True|Genie's Wish|1|2|0|0|Cast another random spell.|Regular|Spell||
138|SBB_TREASURE_RUSTYDAGGERS|True|Needle Nose Daggers|2|2|0|0|Your characters have +2 Attack until you lose a brawl.|Regular|Treasure||
139|SBB_TREASURE_RUNESTONES|True|Rune Stones|2|2|0|0|The next time you pick a treasure, your choices are one level higher.|Regular|Treasure||
140|SBB_TREASURE_LOCKEDCHEST|True|Locked Chest|2|2|0|0|This unlocks after 3 brawls, and you get to pick a level 3 treasure.|Regular|Treasure||
141|SBB_TREASURE_RINGOFREGENERATION|True|Ring of Regeneration|2|2|0|0|After each brawl, you gain +1 Health.|Regular|Treasure||
142|SBB_TREASURE_JACK'SJUMPINGBEANS|True|Jack's Jumping Beans|2|2|0|0|At the start of each brawl, give one of your characters +4/+4 this brawl.|Regular|Treasure||
143|SBB_TREASURE_SPINNINGWHEEL|True|Spinning Wheel|2|2|0|0|+1 Gold each round.|Regular|Treasure||
144|SBB_TREASURE_SHEPHERD'SSLING|True|Shepherd's Sling|2|2|0|0|Your level 3 and lower characters have +1/+1.|Regular|Treasure||
145|SBB_TREASURE_CORRUPTEDHEARTWOOD|True|Corrupted Heartwood|2|2|0|0|Your Animals and Treants have +1 Attack and are Evil.|Regular|Treasure||
146|SBB_TREASURE_CROWNOFATLAS|True|Crown of Atlas|2|2|0|0|Your Animals have +1/+1 and are Good.|Regular|Treasure||
147|SBB_TREASURE_TRAININGDUMMY|True|Fairy Tail|2|2|0|0|Characters in your shop have +1/+1.|Regular|Treasure||
148|SBB_TREASURE_HERMES'BOOTS|True|Hermes' Sandals|2|2|0|0|You get the first attack each brawl.|Regular|Treasure||
149|SBB_TREASURE_PIGGIEBANK|True|Piggie Bank|2|2|0|0|Your extra Gold carries over to the next round. At the end of each round, +1 Gold for every 5 you saved.|Regular|Treasure||
150|SBB_TREASURE_BOUNTYBOARD|True|Bounty Board|2|2|0|0|When you trigger a <b>Slay</b> ability, +1 Gold.|Regular|Treasure||Slay
151|SBB_TREASURE_MONSTERMANUAL|True|Monster Manual|2|2|0|0|When one of your Monsters dies, give it +2 Attack permanently.|Regular|Treasure||
152|SBB_TREASURE_SECRETSTASH|True|Secret Stash|2|2|0|0|When you lose a brawl, destroy this to gain +3 Health and +3 Gold.|Regular|Treasure||
153|SBB_TREASURE_BOOKOFHEROES|True|Book of Heroes|2|2|0|0|When one of your Good characters attacks and kills an Evil character, give it +2/+2 permanently.|Regular|Treasure||
154|SBB_TREASURE_DEVILSCONTRACT|True|Dark Contract|2|2|0|0|When you buy an Evil character, give it +5/+5 this brawl.|Regular|Treasure||
155|SBB_TREASURE_RINGOFMETEORS|True|Ring of Meteors|2|2|0|0|At the start of each brawl, deal 1 damage to all enemy AND friendly characters.|Regular|Treasure||
156|SBB_TREASURE_DRAGONNEST|True|Dragon Nest|2|2|0|0|Your Dragons have +5/+5.|Regular|Treasure||
157|SBB_TREASURE_QUESTINGPET|True|Noble Steed|2|2|0|0|Your <b>Questing</b> characters have +1/+1 and reward treasures one level higher.|Regular|Treasure||Quest
158|SBB_TREASURE_SHARPENINGSTONE|True|Dancing Sword|2|2|0|0|Your Evil characters have +1/+1.|Regular|Treasure||
159|SBB_TREASURE_FOUNTAINOFYOUTH|True|Fountain of Youth|2|2|0|0|Your Good characters have +1/+1.|Regular|Treasure||
160|SBB_TREASURE_POTIONCAULDRON|True|Boiling Beaker|2|2|0|0|When you cast a spell directly on a character, give it +2/+2 permanently.|Regular|Treasure||
161|SBB_TREASURE_GREATLIBRARYCARD|True|Big Book of Spells|2|2|0|0|Your shop sells an extra spell.|Regular|Treasure||
162|SBB_TREASURE_SKIPSPUZZLECUBE|True|Skip's Skipping Stone|2|2|0|0|When you replace this, you gain +2 <b>XP </b>and +2 Health.|Regular|Treasure||XP
163|SBB_CHARACTER_THEWHITESTAG|True|The White Stag|3|3|3|3|When I attack, give the characters behind me +3/+3 this brawl.|Regular|Character|Good - Animal|
164|GOLDEN_SBB_CHARACTER_THEWHITESTAG|True|The White Stag|3|3|6|6|When I attack, give the characters behind me +6/+6 this brawl.|Golden|Character|Good - Animal|
165|SBB_CHARACTER_QUESTINGPRINCESS|True|Brave Princess|3|3|5|3|<b>Quest:</b> I <b>Slay</b> 3 enemies.|Regular|Character|Good - Royal|Quest - Slay
166|GOLDEN_SBB_CHARACTER_QUESTINGPRINCESS|True|Brave Princess|3|3|10|6|<b>Quest:</b> I <b>Slay</b> 3 enemies.|Golden|Character|Good - Royal|Quest - Slay
167|SBB_CHARACTER_TROJANDONKEY|True|Trojan Donkey|3|3|2|6|When I survive damage, summon a random character.|Regular|Character|Good - Animal|
168|GOLDEN_SBB_CHARACTER_TROJANDONKEY|True|Trojan Donkey|3|3|4|12|When I survive damage, summon a random character of your level.|Golden|Character|Good - Animal|
169|SBB_CHARACTER_PRINCESSPEEP|True|Princess Peep|3|3|1|1|<b>Last Breath</b>: Summon three 1/1 Sheep.|Regular|Character|Good - Royal|LastBreath
170|GOLDEN_SBB_CHARACTER_PRINCESSPEEP|True|Princess Peep|3|3|2|2|<b>Last Breath:</b> Summon three 2/2 Sheep.|Golden|Character|Good - Royal|LastBreath
171|SBB_CHARACTER_ROMEO|True|Romeo|3|3|5|3|<b>Last Breath</b>: If Juliet is dead, summon her and give her +7/+7 this brawl.|Regular|Character|Good - Royal|LastBreath
172|GOLDEN_SBB_CHARACTER_ROMEO|True|Romeo|3|3|10|6|<b>Last Breath</b>: If Juliet is dead, summon her and give her +14/+14 this brawl.|Golden|Character|Good - Royal|LastBreath
173|SBB_CHARACTER_QUEENOFHEARTS|True|Queen of Hearts|3|3|1|1|When one of your Evil characters dies, I gain +2/+2 this brawl.|Regular|Character|Evil - Royal|
174|GOLDEN_SBB_CHARACTER_QUEENOFHEARTS|True|Queen of Hearts|3|3|2|2|When one of your Evil characters dies, I gain +4/+4 this brawl.|Golden|Character|Evil - Royal|
175|SBB_CHARACTER_WICKEDWITCHOFTHEWEST|True|Wicked Witch of the West|3|3|3|2|<b>Evil Support:</b> +3/+2|Regular|Character|Evil - Mage|Support
176|GOLDEN_SBB_CHARACTER_WICKEDWITCHOFTHEWEST|True|Wicked Witch of the West|3|3|6|4|<b>Evil Support:</b> +6/+4|Golden|Character|Evil - Mage|Support
177|SBB_CHARACTER_GOODWITCHOFTHENORTH|True|Good Witch of the North|3|3|2|3|<b>Good Support</b>: +2/+3|Regular|Character|Good - Mage|Support
178|GOLDEN_SBB_CHARACTER_GOODWITCHOFTHENORTH|True|Good Witch of the North|3|3|4|6|<b>Good Support:</b> +4/+6|Golden|Character|Good - Mage|Support
179|SBB_CHARACTER_LUCKY|True|Lucky|3|3|3|2|<b>Last Breath</b>: Reduce the cost of a random character in your next shop by 2.|Regular|Character|Dwarf|LastBreath
180|GOLDEN_SBB_CHARACTER_LUCKY|True|Lucky|3|3|6|4|<b>Last Breath:</b> Reduce the cost of a random character in your next shop by 4.|Golden|Character|Dwarf|LastBreath
181|SBB_CHARACTER_TIM|True|Spell Weaver|3|3|1|3|<b>Ranged</b>When you cast a spell, I gain +1 Attack permanently.|Regular|Character|Evil - Mage|Ranged
182|GOLDEN_SBB_CHARACTER_TIM|True|Spell Weaver|3|3|2|6|<b>Ranged</b>When you cast a spell, I gain +2 Attack permanently.|Golden|Character|Evil - Mage|Ranged
183|SBB_CHARACTER_SHADOWASSASSIN|True|Shadow Assassin|3|3|2|4|<b>Ranged</b>When one of your characters triggers a <b>Slay </b>ability, I gain +1 Attack permanently.|Regular|Character|Evil - Monster|Ranged
184|GOLDEN_SBB_CHARACTER_SHADOWASSASSIN|True|Shadow Assassin|3|3|4|8|<b>Ranged</b>When one of your characters triggers a <b>Slay </b>ability, I gain +2 Attack permanently.|Golden|Character|Evil - Monster|Ranged
185|SBB_CHARACTER_SLEEPINGPRINCESS|True|Sleeping Princess|3|3|0|8|I wake up when you cast a spell directly on me. (8/8)|Regular|Character|Good - Royal|
186|GOLDEN_SBB_CHARACTER_SLEEPINGPRINCESS|True|Sleeping Princess|3|3|0|16|I wake up when you cast a spell directly on me. (+16 Attack)|Golden|Character|Good - Royal|
